Title: The population of Galactic planetary nebulae: a study based on their 
       distances from the second Gaia release 
Authors: Stanghellini L., Bucciarelli B., Lattanzi M.G., Morbidelli R. 
Table: Catalog of DR2 parallaxes, derived parallax distances, and 
       ancillary parameters for Galactic PNe
================================================================================
Byte-by-byte Description of file: apjab59e4t1_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units     Label   Explanations
--------------------------------------------------------------------------------
   1- 10 A10    ---       ID      PN identifier
  12- 30 I19    ---       Gaia    Gaia DR2 identifier
  32- 37 F6.4   mas       plx     Gaia DR2 parallax
  39- 44 F6.4   mas     e_plx     Uncertainty in plx
  46- 47 A2     ---       M       Nebular morphology code (1)
  49- 54 F6.2   arcsec    theta   ? Angular radius
  56- 61 F6.2   [mW/m2]   logFHb  ? log H{beta} integrated flux; erg/s/cm^2^
  63- 66 F4.2   [mW/m2] e_logFHb  ? Uncertainty in logFHb
  68- 72 F5.2   ---       calpha  ? Extinction constant
  74- 77 F4.2   ---     e_calpha  ? Uncertainty in calpha
  79- 84 F6.3   [pc]      logRpc  ? log linear nebula radius (2)
  86- 90 F5.3   [pc]    E_logRpc  ? Upper uncertainty in logRpc
  92- 96 F5.3   [pc]    e_logRpc  ? Lower uncertainty in logRpc
  98-102 A5     ---       Refs    References (3)  
--------------------------------------------------------------------------------
Note (1):
    R = Round;
    E = Elliptical;
034.5-06.7 4262769064373735296 0.3107 0.1466     10.70 -11.21 0.03  0.89 0.07 -0.777 0.356 0.265 3,4,4 
035.1-00.7 4267057842596409088 0.1870 0.0660 R   50.00                                           4,*,* 
036.0+17.6 4488953930631143168 0.4312 0.0609 E   40.00 -12.40 0.07  0.38 0.22 -0.347 0.145 0.154 4,4,4 
036.1-57.1 6628874205642084224 4.9760 0.0763 E  402.00  -9.37 0.02  0.04 0.02 -0.407 0.086 0.104 4,4,4 
037.7-34.5 6889338034837425920 0.8665 0.1161 B   14.00  -9.80 0.10  0.11 0.09 -1.106 0.142 0.152 3,4,4 
037.9-03.4 4268179207028750592 0.8574 0.4099     90.50                                           5,*,* 
038.1-25.4 6907822573352460032 0.3829 0.1657 E   22.60 -12.34 0.10  0.07 0.10 -0.543 0.325 0.253 3,4,4 
038.2+12.0 4482121324862387968 0.1308 0.1079 BC   2.25 -10.94 0.02  0.42 0.03 -1.079 0.836 0.358 2,4,4 
038.4-03.3 4268281088010981248 0.1342 0.0304           -13.22 0.10  1.66 0.10                    *,5,5 
039.5-02.7 4293191412929039232 0.2712 0.0988 E    3.45 -12.40 0.20  1.75 0.10 -1.210 0.276 0.232 3,5,5 
041.8-02.9 4294123077230164736 2.0446 0.0890 E   53.00 -11.21 0.04  1.02 0.05 -0.901 0.099 0.115 4,4,4 
042.5-14.5 4237745794618477440 0.2470 0.1552 E   14.00 -11.70 0.40 -0.22 0.10 -0.561 0.509 0.309 4,5,5 
043.1+03.8 4311868924367555200 0.2239 0.0400 R    2.10 -12.15 0.06  1.36 0.10 -1.342 0.165 0.168 3,5,5 
043.3+11.6 4509558434941251584 0.2242 0.0848 R    1.40 -11.83 0.02  1.05 0.02 -1.519 0.286 0.236 3,4,4 
043.5-13.4 4241183555162316160 0.1532 0.1079     33.50 -12.00 0.40 -0.15 0.10  0.025 0.608 0.328 4,5,5 
044.1+05.8 4504643171308707072 0.1418 0.0708      3.84 -13.51 0.30  1.44 0.10 -0.882 0.380 0.273 2,2,5 
044.3+10.4 4509807233799263616 1.6347 0.6354     67.50                                           5,*,* 
044.3-05.6 4295152602412852480 0.2523 0.1110 BC   6.00 -12.70 0.20  0.84 0.10 -0.938 0.331 0.255 5,5,5 
045.7-04.5 4296362443149857920 1.1390 0.0652 E   29.15 -11.30 0.04  0.91 0.07 -0.906 0.105 0.121 3,4,4 
046.8+03.8 4506484097383382272 1.5767 0.1268    300.00                                           5,*,* 
047.0+42.4 1305573511415857536 0.9890 0.0546 R   87.00 -11.79 0.02                               4,4,* 
048.5+04.2 4512994821132128768 0.1910 0.0525 E    1.54 -13.06 0.10  1.66 0.10 -1.408 0.219 0.202 2,2,5 
050.1+03.3 4513494205567536512 0.1153 0.0365     60.20  -9.70 0.40  1.17 0.10  0.403 0.244 0.216 4,5,5 
050.4+05.2 4514604677947726976 0.2561 0.1985 E   18.50                                           5,*,* 
051.0+02.8 4513629514212361984 0.5462 0.0461           -13.52 0.10  3.85 0.10                    *,5,5 
051.3+01.8 4514868732516293760 0.3393 0.0296 R   10.00                                           5,*,* 
051.9+25.8 4594460760030429056 0.6656 0.1263     21.50                                           5,*,* 
051.9-03.8 4318420669299100288 0.2410 0.0609 E    2.50 -11.70 0.20  0.96 0.10 -1.299 0.206 0.195 4,5,5 
052.5-02.9 4318785810234714752 0.2255 0.0368 B    2.40 -11.39 0.01  0.76 0.18 -1.287 0.157 0.163 4,4,4 
053.8-03.0 1820963913306887680 0.4713 0.0467     20.00 -12.80 0.40  1.22 0.10 -0.687 0.124 0.138 5,5,5 
054.1-12.1 1803234906762692736 0.4073 0.0512 E    6.75 -10.66 0.02  0.28 0.10 -1.095 0.138 0.148 3,4,4 
055.3+06.6 4521168448795699328 0.3777 0.0694     28.00 -13.09 0.20  0.94 0.10 -0.444 0.167 0.170 4,4,4 
055.6+02.1 2018024881202947200 0.0796 0.0310 E    2.50 -12.90 0.20  2.04 0.10 -0.817 0.293 0.240 5,5,5 
056.0+02.0 2018131400704379648 0.3835 0.1245 B    0.90 -13.90 0.30  2.20 0.10 -1.944 0.250 0.219 4,5,5 
056.4-00.9 1825749748123627904 0.2355 0.1836      0.60                                           4,*,* 
056.8-06.9 1821791540605697152 0.0994 0.0972 R    7.50 -12.40 0.40  1.23 0.10 -0.437 1.734 0.393 5,5,5 
057.2-08.9 1809552460055588608 0.7455 0.1028 E    2.50 -11.59 0.01  0.42 0.14 -1.789 0.144 0.153 4,4,4 
058.6+06.1 2024098484670541952 0.5083 0.0929 BC  18.50 -12.30 0.40  0.32 0.10 -0.753 0.167 0.170 5,5,5 
059.7-18.7 1761341417799128320 0.6926 0.0883 E   63.70 -11.88 0.07  0.54 0.10 -0.351 0.138 0.149 4,4,4 
060.0-04.3 1826936121144576896 0.3410 0.2706 BC  19.00                                           5,*,* 
060.3-07.3 1828750899461025536 0.7630 0.2302 R   18.00 -12.43 0.10  0.60 0.03 -0.942 0.235 0.211 4,4,4 
060.8-03.6 1827256624493300096 2.6575 0.0436 E  170.00  -9.46 0.06  0.18 0.03 -0.508 0.086 0.104 4,4,4 
061.0+08.0 2038257376937231488 0.0983 0.0844 R    8.20 -12.11 0.03  0.36 0.10 -0.393 0.929 0.366 4,4,4 
061.4-09.5 1816547660416810880 0.3996 0.0457 E   21.65 -10.92 0.03  0.93 0.10 -0.581 0.132 0.144 3,4,4 
061.8+02.1 2022052808961769088 1.0963 0.2242           -12.79 0.10                               *,5,* 
062.4+09.5 2039515046433996544 0.2308 0.1512     19.00 -11.90 0.10  0.60 0.10 -0.399 0.542 0.316 4,4,4 
063.1+13.9 2090486618786534784 1.2707 0.0594 E   32.00 -10.08 0.03  0.29 0.04 -0.913 0.100 0.117 1,4,4 
064.7+05.0 2032744769234150016 0.5863 0.0633 E    2.78 -10.03 0.01  0.46 0.03 -1.639 0.129 0.141 1,4,4 
064.9+15.5 2093171999835941504 0.7747 0.3628 R    8.50 -11.89 0.05  0.60 0.10 -1.274 0.354 0.264 4,4,5 
064.9-02.1 1835203623971123328 0.6730 0.4586 R    0.40 -13.60 0.30  3.18 0.10 -2.540 0.576 0.323 4,5,5 
065.9+00.5 2028777318992611072 0.4764 0.0458 R   23.70 -11.73 0.03  1.10 0.10 -0.618 0.123 0.137 4,4,4 
066.7-28.2 1770058865674512896 0.6149 0.0587 R   51.25 -11.77 0.06  0.34 0.10 -0.394 0.123 0.137 3,4,4 
066.9+02.2 2033668496470691840 0.1929 0.0546 BC   6.00                                           5,*,* 
067.9-00.2 2030592853162980096 1.4280 0.1782      0.40 -13.60 0.30  1.63 0.10 -2.867 0.137 0.148 4,5,5 
068.8-00.0 2030793514041787264 1.1793 0.7791 B    7.00 -12.80 0.20                               4,5,* 
069.4-02.6 2053683628140774528 0.8392 0.1310 R   28.20 -11.41 0.05  0.88 0.10 -0.788 0.153 0.160 3,4,4 
072.7-17.1 1840395547924993152 1.4744 0.1560    415.00 -10.43 0.20                               4,4,* 
073.0-02.4 2055990571034870016 0.1999 0.1371 E    2.15 -13.60 0.30  2.55 0.10 -1.283 0.582 0.324 5,5,5 
075.7+35.8 1414294114523211904 0.0972 0.0371 R    6.50 -12.80 0.20  0.93 0.10 -0.489 0.288 0.237 5,5,5 
076.4+01.8 2061352305127905280 0.3065 0.0904 E         -13.30 0.20  1.01 0.10                    *,5,5 
077.5+03.7 2062501573970107904 1.7609 0.0272 E    2.80 -12.90 0.20  1.68 0.10 -2.113 0.086 0.104 5,5,5 
077.6+14.7 2127684982639844224 0.5842 0.0864    100.00              0.91 0.10                    5,*,5 
079.9+06.4 2081894618310233856 1.3842 0.8547 E    2.77 -13.28 0.20  1.43 0.10 -2.013 0.497 0.306 2,2,5 
081.2-14.9 1850685091269441792 0.6326 0.0643 E   53.50 -12.04 0.04  0.18 0.02 -0.387 0.126 0.139 4,4,4 
083.5+12.7 2135352396915239808 0.6348 0.0475 R   10.00  -9.96 0.02  0.03 0.02 -1.117 0.113 0.128 1,4,4 
083.9-08.4 1964102533180564096 0.1938 0.0463 E    5.00 -12.80 0.20  0.33 0.10 -0.903 0.198 0.190 5,5,5 
084.9+04.4 2071606698470935296 0.6872 0.0876 E   79.00 -11.75 0.02  1.12 0.15 -0.254 0.138 0.149 4,4,4 
086.1+05.4 2179832585761932032 0.6309 0.1194     95.00                                           5,*,* 
088.7+04.6 2168422854826982656 2.8304 1.1147      2.20 -14.10 0.30  0.39 0.10 -2.424 0.297 0.241 4,5,5 
088.7-01.6 2164192930525717248 1.0228 0.2528 E   27.50 -11.41 0.01  0.75 0.10 -0.885 0.202 0.193 4,4,4 
089.3-02.2 1971995510535755648 0.3863 0.0274 R    3.50 -11.90 0.02  1.34 0.02 -1.357 0.111 0.127 4,4,4 
